objectid,filename,title,creator,date,description,subject,location,source,type,format,frame rate,length,dimensions,bit depth,rights,rightsstatement
KMdance011,dancingonfire.mp3,Dancing on Fire,Michael Vignola,2021-5-18,"Paino composition. Used as soundtrack for the short dance film ""Jojo's Landing""",music; indie; instumental,,Infinity Album,sound,audio/mp3,,0:01:25,,,KMdancefilms.com,https://rightsstatements.org/page/InC/1.0/?language=en
KMdance012,jojo'slanding_2021_moment1.jpg,Scene 1,Katie Monsell,2021-8-21,"Stillframe from Dance film ""Jojo's Landing.""",stillframe; film; dance,"Bald Eagle Creek, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1651x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=enn
KMdance013,jojo'slanding_2021_moment2.jpg,Scene 6,Katie Monsell,2021-8-21,"Stillframe from Dance film ""Jojo's Landing.""",stillframe; film; dance,"Bald Eagle Creek, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1485x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance014,jojo'slanding_2021_moment3.jpg,Scene 8,Katie Monsell,2021-8-21,"Stillframe from Dance film ""Jojo's Landing.""",stillframe; film; dance,"Bald Eagle Creek, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1597x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance015,mauragarciastraightjumppose_photocredittojennywheat.tif,Maura Garcia Straight Jump Pose,Jenny Wheat,2020-11-13,"Photo of Maura Garcia. Logo of the ""Mixed Blood Women"" production.",dance; photography,"Kansas City, Missouri",KMdancefilms,image;stillimage,image/tif,,,644x966,32,Maura Garcia Dance LLC.,https://rightsstatements.org/page/InC/1.0/?language=en
KMdance016,ocean_moment1.jpg,Part 1 Scene 5,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance017,ocean_moment2.jpg,Part 2 Sene 6,Katie Monsell,2021-1-2,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance018,ocean_moment3.jpg,Part 1 Scene 3,Katie Monsell,2021-1-2,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance019,ocean_moment4.jpg,Part 1 Scene 20,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance020,ocean_moment5.jpg,Part 2 Scene 10,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance021,ocean_moment6.jpg,Part 2 Scene 20,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,https://rightsstatements.org/page/NKC/1.0/?language=en
Kmdance022,ocomeocomeemmanuel.mp3,O Come O Come Emmauel,Jon Gegelman,2020-12-5,"Paino rendition of O Come O Come Emmanuel. Used as soundtrack for the multimedia project ""20_20 Vision""",music; instrumental,"Lewistown, Pennsylvania",KMdancefilms,sound,audio/mp3,,0:04:29,,,KMdancefilm.com,https://rightsstatements.org/page/InC/1.0/?language=en
KMdance023,riversruntothesea_finaldraft_moment3.jpg,Maura in the River,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com / Maura Garcia Dance LLC,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance024,riversruntothesea_finaldraft_moment4.jpg,Spirit of the River,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com/ Maura Garcia Dance LLC,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance025,riversruntothesea_moment1.jpg,Heart Share,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com/ Maura Garcia Dance LLC,https://rightsstatements.org/page/NKC/1.0/?language=en
KMdance026,riversruntothesea_moment2.jpg,Suri in the River,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilm.com / Maura Garcia Dance LLC,https://rightsstatements.org/page/NKC/1.0/?language=en
